#        T (MeV)     d\mu_e/dL_e   d\mu_\mu/dL_e  d\mu_\tau/dL_e  d\mu_{\nu_e}/dL_e   d\mu_{\nu_\mu}/dL_e  d\mu_{\nu_\tau}/dL_e     d\mu_Q/dL_e     d\mu_B/dL_e in units of T^-2
      3.5400e+03      1.8434e+00     -1.5657e-01     -1.6055e-01         2.3131e+00            3.1309e-01            3.0912e-01      4.6966e-01     -1.0676e-01
      3.5450e+03      1.8435e+00     -1.5656e-01     -1.6052e-01         2.3131e+00            3.1307e-01            3.0911e-01      4.6963e-01     -1.0672e-01
      3.5500e+03      1.8435e+00     -1.5655e-01     -1.6050e-01         2.3131e+00            3.1305e-01            3.0910e-01      4.6960e-01     -1.0667e-01
      3.5550e+03      1.8435e+00     -1.5654e-01     -1.6048e-01         2.3130e+00            3.1303e-01            3.0909e-01      4.6957e-01     -1.0663e-01
      3.5600e+03      1.8435e+00     -1.5653e-01     -1.6046e-01         2.3130e+00            3.1301e-01            3.0908e-01      4.6954e-01     -1.0659e-01
      3.5650e+03      1.8435e+00     -1.5652e-01     -1.6044e-01         2.3130e+00            3.1300e-01            3.0907e-01      4.6951e-01     -1.0654e-01
      3.5700e+03      1.8435e+00     -1.5651e-01     -1.6042e-01         2.3130e+00            3.1298e-01            3.0907e-01      4.6948e-01     -1.0650e-01
      3.5750e+03      1.8435e+00     -1.5650e-01     -1.6040e-01         2.3130e+00            3.1296e-01            3.0906e-01      4.6945e-01     -1.0646e-01
      3.5800e+03      1.8435e+00     -1.5649e-01     -1.6038e-01         2.3130e+00            3.1294e-01            3.0905e-01      4.6943e-01     -1.0642e-01
      3.5850e+03      1.8435e+00     -1.5648e-01     -1.6036e-01         2.3129e+00            3.1292e-01            3.0904e-01      4.6940e-01     -1.0637e-01
      3.5900e+03      1.8435e+00     -1.5647e-01     -1.6033e-01         2.3129e+00            3.1290e-01            3.0903e-01      4.6937e-01     -1.0633e-01
      3.5950e+03      1.8436e+00     -1.5646e-01     -1.6031e-01         2.3129e+00            3.1288e-01            3.0902e-01      4.6934e-01     -1.0629e-01
      3.6000e+03      1.8436e+00     -1.5645e-01     -1.6029e-01         2.3129e+00            3.1286e-01            3.0902e-01      4.6931e-01     -1.0625e-01
      3.6050e+03      1.8436e+00     -1.5644e-01     -1.6027e-01         2.3129e+00            3.1284e-01            3.0901e-01      4.6928e-01     -1.0620e-01
      3.6100e+03      1.8436e+00     -1.5643e-01     -1.6025e-01         2.3128e+00            3.1282e-01            3.0900e-01      4.6925e-01     -1.0616e-01
      3.6150e+03      1.8436e+00     -1.5642e-01     -1.6023e-01         2.3128e+00            3.1280e-01            3.0899e-01      4.6922e-01     -1.0612e-01
      3.6200e+03      1.8436e+00     -1.5641e-01     -1.6021e-01         2.3128e+00            3.1278e-01            3.0898e-01      4.6920e-01     -1.0608e-01
      3.6250e+03      1.8436e+00     -1.5640e-01     -1.6019e-01         2.3128e+00            3.1277e-01            3.0898e-01      4.6917e-01     -1.0604e-01
      3.6300e+03      1.8436e+00     -1.5639e-01     -1.6017e-01         2.3128e+00            3.1275e-01            3.0897e-01      4.6914e-01     -1.0600e-01
      3.6350e+03      1.8436e+00     -1.5638e-01     -1.6015e-01         2.3127e+00            3.1273e-01            3.0896e-01      4.6911e-01     -1.0596e-01
      3.6400e+03      1.8436e+00     -1.5637e-01     -1.6013e-01         2.3127e+00            3.1271e-01            3.0895e-01      4.6908e-01     -1.0592e-01
      3.6450e+03      1.8436e+00     -1.5637e-01     -1.6011e-01         2.3127e+00            3.1269e-01            3.0894e-01      4.6906e-01     -1.0588e-01
      3.6500e+03      1.8437e+00     -1.5636e-01     -1.6009e-01         2.3127e+00            3.1267e-01            3.0894e-01      4.6903e-01     -1.0584e-01
      3.6550e+03      1.8437e+00     -1.5635e-01     -1.6007e-01         2.3127e+00            3.1265e-01            3.0893e-01      4.6900e-01     -1.0580e-01
      3.6600e+03      1.8437e+00     -1.5634e-01     -1.6005e-01         2.3126e+00            3.1264e-01            3.0892e-01      4.6897e-01     -1.0576e-01
      3.6650e+03      1.8437e+00     -1.5633e-01     -1.6003e-01         2.3126e+00            3.1262e-01            3.0891e-01      4.6895e-01     -1.0572e-01
      3.6700e+03      1.8437e+00     -1.5632e-01     -1.6001e-01         2.3126e+00            3.1260e-01            3.0890e-01      4.6892e-01     -1.0568e-01
      3.6750e+03      1.8437e+00     -1.5631e-01     -1.6000e-01         2.3126e+00            3.1258e-01            3.0890e-01      4.6889e-01     -1.0564e-01
      3.6800e+03      1.8437e+00     -1.5630e-01     -1.5998e-01         2.3126e+00            3.1256e-01            3.0889e-01      4.6886e-01     -1.0560e-01
      3.6850e+03      1.8437e+00     -1.5629e-01     -1.5996e-01         2.3126e+00            3.1255e-01            3.0888e-01      4.6884e-01     -1.0556e-01
      3.6900e+03      1.8437e+00     -1.5628e-01     -1.5994e-01         2.3125e+00            3.1253e-01            3.0887e-01      4.6881e-01     -1.0552e-01
      3.6950e+03      1.8437e+00     -1.5627e-01     -1.5992e-01         2.3125e+00            3.1251e-01            3.0887e-01      4.6878e-01     -1.0548e-01
      3.7000e+03      1.8437e+00     -1.5627e-01     -1.5990e-01         2.3125e+00            3.1249e-01            3.0886e-01      4.6876e-01     -1.0544e-01
      3.7050e+03      1.8438e+00     -1.5626e-01     -1.5988e-01         2.3125e+00            3.1247e-01            3.0885e-01      4.6873e-01     -1.0540e-01
      3.7100e+03      1.8438e+00     -1.5625e-01     -1.5986e-01         2.3125e+00            3.1246e-01            3.0884e-01      4.6870e-01     -1.0536e-01
      3.7150e+03      1.8438e+00     -1.5624e-01     -1.5984e-01         2.3125e+00            3.1244e-01            3.0883e-01      4.6868e-01     -1.0533e-01
      3.7200e+03      1.8438e+00     -1.5623e-01     -1.5982e-01         2.3124e+00            3.1242e-01            3.0883e-01      4.6865e-01     -1.0529e-01
      3.7250e+03      1.8438e+00     -1.5622e-01     -1.5981e-01         2.3124e+00            3.1240e-01            3.0882e-01      4.6863e-01     -1.0525e-01
      3.7300e+03      1.8438e+00     -1.5621e-01     -1.5979e-01         2.3124e+00            3.1239e-01            3.0881e-01      4.6860e-01     -1.0521e-01
      3.7350e+03      1.8438e+00     -1.5620e-01     -1.5977e-01         2.3124e+00            3.1237e-01            3.0880e-01      4.6857e-01     -1.0518e-01
      3.7400e+03      1.8438e+00     -1.5620e-01     -1.5975e-01         2.3124e+00            3.1235e-01            3.0880e-01      4.6855e-01     -1.0514e-01
      3.7450e+03      1.8438e+00     -1.5619e-01     -1.5973e-01         2.3123e+00            3.1234e-01            3.0879e-01      4.6852e-01     -1.0510e-01
      3.7500e+03      1.8438e+00     -1.5618e-01     -1.5971e-01         2.3123e+00            3.1232e-01            3.0878e-01      4.6850e-01     -1.0506e-01
      3.7550e+03      1.8438e+00     -1.5617e-01     -1.5970e-01         2.3123e+00            3.1230e-01            3.0877e-01      4.6847e-01     -1.0503e-01
      3.7600e+03      1.8439e+00     -1.5616e-01     -1.5968e-01         2.3123e+00            3.1228e-01            3.0877e-01      4.6844e-01     -1.0499e-01
      3.7650e+03      1.8439e+00     -1.5615e-01     -1.5966e-01         2.3123e+00            3.1227e-01            3.0876e-01      4.6842e-01     -1.0495e-01
      3.7700e+03      1.8439e+00     -1.5614e-01     -1.5964e-01         2.3123e+00            3.1225e-01            3.0875e-01      4.6839e-01     -1.0492e-01
      3.7750e+03      1.8439e+00     -1.5614e-01     -1.5962e-01         2.3122e+00            3.1223e-01            3.0875e-01      4.6837e-01     -1.0488e-01
      3.7800e+03      1.8439e+00     -1.5613e-01     -1.5961e-01         2.3122e+00            3.1222e-01            3.0874e-01      4.6834e-01     -1.0484e-01
      3.7850e+03      1.8439e+00     -1.5612e-01     -1.5959e-01         2.3122e+00            3.1220e-01            3.0873e-01      4.6832e-01     -1.0481e-01
      3.7900e+03      1.8439e+00     -1.5611e-01     -1.5957e-01         2.3122e+00            3.1218e-01            3.0872e-01      4.6829e-01     -1.0477e-01
      3.7950e+03      1.8439e+00     -1.5610e-01     -1.5955e-01         2.3122e+00            3.1217e-01            3.0872e-01      4.6827e-01     -1.0474e-01
      3.8000e+03      1.8439e+00     -1.5609e-01     -1.5954e-01         2.3122e+00            3.1215e-01            3.0871e-01      4.6824e-01     -1.0470e-01
      3.8050e+03      1.8439e+00     -1.5609e-01     -1.5952e-01         2.3121e+00            3.1213e-01            3.0870e-01      4.6822e-01     -1.0466e-01
      3.8100e+03      1.8439e+00     -1.5608e-01     -1.5950e-01         2.3121e+00            3.1212e-01            3.0869e-01      4.6819e-01     -1.0463e-01
      3.8150e+03      1.8439e+00     -1.5607e-01     -1.5948e-01         2.3121e+00            3.1210e-01            3.0869e-01      4.6817e-01     -1.0459e-01
      3.8200e+03      1.8440e+00     -1.5606e-01     -1.5947e-01         2.3121e+00            3.1209e-01            3.0868e-01      4.6815e-01     -1.0456e-01
      3.8250e+03      1.8440e+00     -1.5605e-01     -1.5945e-01         2.3121e+00            3.1207e-01            3.0867e-01      4.6812e-01     -1.0452e-01
      3.8300e+03      1.8440e+00     -1.5604e-01     -1.5943e-01         2.3121e+00            3.1205e-01            3.0867e-01      4.6810e-01     -1.0449e-01
      3.8350e+03      1.8440e+00     -1.5604e-01     -1.5941e-01         2.3120e+00            3.1204e-01            3.0866e-01      4.6807e-01     -1.0445e-01
      3.8400e+03      1.8440e+00     -1.5603e-01     -1.5940e-01         2.3120e+00            3.1202e-01            3.0865e-01      4.6805e-01     -1.0442e-01
      3.8450e+03      1.8440e+00     -1.5602e-01     -1.5938e-01         2.3120e+00            3.1200e-01            3.0864e-01      4.6802e-01     -1.0438e-01
      3.8500e+03      1.8440e+00     -1.5601e-01     -1.5936e-01         2.3120e+00            3.1199e-01            3.0864e-01      4.6800e-01     -1.0435e-01
      3.8550e+03      1.8440e+00     -1.5600e-01     -1.5935e-01         2.3120e+00            3.1197e-01            3.0863e-01      4.6798e-01     -1.0432e-01
      3.8600e+03      1.8440e+00     -1.5600e-01     -1.5933e-01         2.3120e+00            3.1196e-01            3.0862e-01      4.6795e-01     -1.0428e-01
      3.8650e+03      1.8440e+00     -1.5599e-01     -1.5931e-01         2.3120e+00            3.1194e-01            3.0862e-01      4.6793e-01     -1.0425e-01
      3.8700e+03      1.8440e+00     -1.5598e-01     -1.5930e-01         2.3119e+00            3.1193e-01            3.0861e-01      4.6791e-01     -1.0421e-01
      3.8750e+03      1.8440e+00     -1.5597e-01     -1.5928e-01         2.3119e+00            3.1191e-01            3.0860e-01      4.6788e-01     -1.0418e-01
      3.8800e+03      1.8440e+00     -1.5596e-01     -1.5926e-01         2.3119e+00            3.1189e-01            3.0860e-01      4.6786e-01     -1.0415e-01
      3.8850e+03      1.8441e+00     -1.5596e-01     -1.5925e-01         2.3119e+00            3.1188e-01            3.0859e-01      4.6784e-01     -1.0411e-01
      3.8900e+03      1.8441e+00     -1.5595e-01     -1.5923e-01         2.3119e+00            3.1186e-01            3.0858e-01      4.6781e-01     -1.0408e-01
      3.8950e+03      1.8441e+00     -1.5594e-01     -1.5921e-01         2.3119e+00            3.1185e-01            3.0857e-01      4.6779e-01     -1.0405e-01
      3.9000e+03      1.8441e+00     -1.5593e-01     -1.5920e-01         2.3118e+00            3.1183e-01            3.0857e-01      4.6777e-01     -1.0401e-01
      3.9050e+03      1.8441e+00     -1.5593e-01     -1.5918e-01         2.3118e+00            3.1182e-01            3.0856e-01      4.6774e-01     -1.0398e-01
      3.9100e+03      1.8441e+00     -1.5592e-01     -1.5917e-01         2.3118e+00            3.1180e-01            3.0855e-01      4.6772e-01     -1.0395e-01
      3.9150e+03      1.8441e+00     -1.5591e-01     -1.5915e-01         2.3118e+00            3.1179e-01            3.0855e-01      4.6770e-01     -1.0391e-01
      3.9200e+03      1.8441e+00     -1.5590e-01     -1.5913e-01         2.3118e+00            3.1177e-01            3.0854e-01      4.6767e-01     -1.0388e-01
      3.9250e+03      1.8441e+00     -1.5590e-01     -1.5912e-01         2.3118e+00            3.1176e-01            3.0853e-01      4.6765e-01     -1.0385e-01
      3.9300e+03      1.8441e+00     -1.5589e-01     -1.5910e-01         2.3118e+00            3.1174e-01            3.0853e-01      4.6763e-01     -1.0382e-01
      3.9350e+03      1.8441e+00     -1.5588e-01     -1.5909e-01         2.3117e+00            3.1173e-01            3.0852e-01      4.6761e-01     -1.0378e-01
      3.9400e+03      1.8441e+00     -1.5587e-01     -1.5907e-01         2.3117e+00            3.1171e-01            3.0851e-01      4.6758e-01     -1.0375e-01
      3.9450e+03      1.8441e+00     -1.5587e-01     -1.5905e-01         2.3117e+00            3.1170e-01            3.0851e-01      4.6756e-01     -1.0372e-01
      3.9500e+03      1.8442e+00     -1.5586e-01     -1.5904e-01         2.3117e+00            3.1168e-01            3.0850e-01      4.6754e-01     -1.0369e-01
      3.9550e+03      1.8442e+00     -1.5585e-01     -1.5902e-01         2.3117e+00            3.1167e-01            3.0849e-01      4.6752e-01     -1.0366e-01
      3.9600e+03      1.8442e+00     -1.5584e-01     -1.5901e-01         2.3117e+00            3.1165e-01            3.0849e-01      4.6750e-01     -1.0363e-01
      3.9650e+03      1.8442e+00     -1.5584e-01     -1.5899e-01         2.3116e+00            3.1164e-01            3.0848e-01      4.6747e-01     -1.0359e-01
      3.9700e+03      1.8442e+00     -1.5583e-01     -1.5898e-01         2.3116e+00            3.1162e-01            3.0847e-01      4.6745e-01     -1.0356e-01
      3.9750e+03      1.8442e+00     -1.5582e-01     -1.5896e-01         2.3116e+00            3.1161e-01            3.0847e-01      4.6743e-01     -1.0353e-01
      3.9800e+03      1.8442e+00     -1.5581e-01     -1.5895e-01         2.3116e+00            3.1159e-01            3.0846e-01      4.6741e-01     -1.0350e-01
      3.9850e+03      1.8442e+00     -1.5581e-01     -1.5893e-01         2.3116e+00            3.1158e-01            3.0846e-01      4.6739e-01     -1.0347e-01
      3.9900e+03      1.8442e+00     -1.5580e-01     -1.5892e-01         2.3116e+00            3.1156e-01            3.0845e-01      4.6736e-01     -1.0344e-01
      3.9950e+03      1.8442e+00     -1.5579e-01     -1.5890e-01         2.3116e+00            3.1155e-01            3.0844e-01      4.6734e-01     -1.0341e-01
      4.0000e+03      1.8442e+00     -1.5578e-01     -1.5889e-01         2.3115e+00            3.1154e-01            3.0844e-01      4.6732e-01     -1.0338e-01
      4.0050e+03      1.8442e+00     -1.5578e-01     -1.5887e-01         2.3115e+00            3.1152e-01            3.0843e-01      4.6730e-01     -1.0335e-01
      4.0100e+03      1.8442e+00     -1.5577e-01     -1.5886e-01         2.3115e+00            3.1151e-01            3.0842e-01      4.6728e-01     -1.0332e-01
      4.0150e+03      1.8442e+00     -1.5576e-01     -1.5884e-01         2.3115e+00            3.1149e-01            3.0842e-01      4.6726e-01     -1.0329e-01
      4.0200e+03      1.8443e+00     -1.5576e-01     -1.5883e-01         2.3115e+00            3.1148e-01            3.0841e-01      4.6724e-01     -1.0326e-01
      4.0250e+03      1.8443e+00     -1.5575e-01     -1.5881e-01         2.3115e+00            3.1147e-01            3.0840e-01      4.6721e-01     -1.0323e-01
      4.0300e+03      1.8443e+00     -1.5574e-01     -1.5880e-01         2.3115e+00            3.1145e-01            3.0840e-01      4.6719e-01     -1.0320e-01
      4.0350e+03      1.8443e+00     -1.5573e-01     -1.5878e-01         2.3114e+00            3.1144e-01            3.0839e-01      4.6717e-01     -1.0317e-01
